Iterations,Runtime(nanos)
472,97425300
473,96711900
474,93780600
475,94829600
476,95208800
477,96403300
478,95226800
479,94873800
480,94479600
481,93757800
482,96889600
483,94977100
484,93853700
485,94404300
486,95379100
487,95213700
488,94057900
489,94261000
490,97579800
491,97080300
492,97170500
493,98092500
494,96958400
495,97205100
496,97272100
497,96121600
498,98232200
499,97984800
500,98412300
501,97646700
502,100984100
503,100009200
504,100042500
505,103531900
506,99654300
507,99873700
508,100417000
509,101431300
510,101479300
511,103804000
512,102468300
513,100488700
514,100044900
515,101490100
516,101762500
517,104751500
518,99491100
519,104254900
520,102125300
521,102228400
522,102610700
523,104484700
524,102753300
525,102790000
526,105360000
527,103479400
528,103363500
529,103590300
530,104370300
531,102905800
532,103016600
533,103263100
534,102176500
535,102156200
536,101362100
537,104126200
538,103379400
539,99181500
540,99370200
541,99622800
542,100579800
543,101132300
544,101697900
545,101428500
546,104943000
547,104952900
548,102710600
549,102516500
550,105034000
551,104410100
552,102647300
553,100288400
554,101968800
555,102441900
556,105270300
557,106100500
558,103780400
559,103142600
560,107058300
561,104975900
562,105090300
563,105835100
564,107925100
565,105737500
566,106949900
567,105187700
568,107712000
569,105351200
570,102636000
571,104646500
572,104376500
573,101910000
574,103982800
575,106717200
576,107857400
577,105212200
578,105029800
579,104401300
580,106650900
581,103504500
582,104731800
583,104350200
584,102355900
585,104658300
586,105318700
587,104246700
588,104385100
589,101392500
590,102733700
591,102667200
592,102793900
593,103907800
594,102060000
595,104515400
596,102202800
597,100406600
598,101083500
599,101481600
600,99773600
601,104162600
602,99185800
603,98960600
604,99551500
605,99221500
606,99534300
607,99742600
608,98070600
609,97321100
610,99352800
611,99454900
612,102084200
613,99378200
614,100028200
615,101640700
616,100123800
617,97691400
618,100368800
619,97862700
620,99654500
621,99089000
622,97179800
623,97826500
624,102347800
625,98475500
626,99491600
627,100572100
628,99506900
629,100554500
630,99855300
631,102014300
632,102913400
633,101422900
634,103907300
635,99303000
636,99066200
637,101911300
638,101072300
639,100689000
640,99867800
641,95864200
642,98113300
643,98756700
644,96461200
645,96548500
646,98483700
647,95769400
648,101217500
649,96703700
650,98704800
651,97706400
652,99052700
653,98269200
654,98279200
655,96667700
656,97321300
657,99862200
658,97646900
659,98821100
660,101423400
661,98061200
662,98537400
663,102032000
664,99615100
665,98646300
666,100471500
667,99499500
668,101310100
669,100439300
670,102928800
671,102152400
672,101215200
673,102929300
674,100725600
675,100936600
676,102722700
677,100883100
678,100631500
679,101637700
680,101535300
681,99850300
682,100437900
683,102474600
684,100128300
685,98197600
686,99118700
687,101493700
688,102787100
689,101255300
690,101142500
691,101030400
692,97219800
693,98021100
694,98724000
695,97996300
696,99152700
697,100107200
698,99343400
699,99650500
700,101666100
701,98835500
702,99491100
703,100632400
704,99360800
705,101694900
706,101420300
707,101114200
708,101264200
709,102971300
710,102919000
711,102773200
712,101644400
713,101948200
714,101686400
715,102563700
716,103195200
717,102240200
718,101751900
719,103561200
720,104380700
721,102251000
722,100001400
723,101705300
724,98921100
725,98946800
726,100928200
727,99225000
728,99365700
729,99105500
730,98531600
731,97552200
732,97430900
733,98273100
734,95745200
735,96888700
736,95121400
737,94906700
738,96217100
739,98138500
740,99304200
741,97670500
742,98161800
743,97778100
744,96474500
745,96888500
746,99918200
747,98922800
748,99181600
749,100298000
750,97374700
751,97296300
752,101627200
753,98726300
754,98630400
755,101370900
756,100767200
757,99940200
758,96936600
759,99992800
760,99856300
761,101325500
762,99509700
763,98206100
764,97770800
765,99220900
766,98552500
767,98667600
768,102061100
769,102497700
770,99633400
771,100142700
772,100219500
773,102835500
774,100684500
775,99901100
776,104893500
777,102533900
778,99687700
779,99850600
780,101000500
781,101729300
782,100304400
783,100908500
784,99521000
785,100251100
786,102945200
787,100989400
788,101623200
789,99292300
790,101898300
791,99226500
792,97918300
793,97148400
794,99806600
795,98613900
796,97768100
797,99727800
798,99367600
799,98878000
800,99767700
801,99785700
802,102786200
803,100087900
804,99453500
805,102193600
806,100415400
807,100674800
808,104000500
809,122181400
810,78744600
811,100299800
812,99511200
813,99196400
814,98527500
815,98881000
816,99538200
817,100699300
818,101030300
819,101280100
820,100935400
821,100270000
822,102139300
823,100054200
824,100937800
825,101840100
826,101421700
827,101435500
828,102624900
829,102066500
830,102834400
831,103145700
832,105844500
833,105424700
834,103056800
835,102997300
836,104069500
837,102522400
838,106019600
839,104255200
840,101527000
841,103331700
842,105989400
843,103933000
844,102990700
845,105612900
846,105234100
847,101124300
848,103095700
849,102409700
850,102802500
851,102982500
852,103883400
853,100400100
854,102717700
855,104657700
856,103844700
857,102617100
858,105049300
859,107437600
860,106594700
861,105013900
862,106896300
863,101995900
864,102601200
865,103051800
866,104373600
867,102507900
868,102158300
869,104221500
870,100112000
871,99677800
872,97800500
873,100011800
874,99004600
875,100216500
876,99303500
877,102261800
878,99854200
879,100229000
880,98683500
881,97443800
882,97806500
883,97117400
884,100136600
885,100180600
886,99073600
887,99861300
888,98280400
889,96068600
890,95957700
891,94926700
892,96369400
893,96418400
894,96491000
895,94906800
896,93168900
897,96594600
898,94426800
899,91499200
900,95122000
901,96234600
902,98091300
903,96369200
904,96561800
905,98199900
906,98400900
907,98539500
908,96807900
909,97289500
910,99778000
911,97386000
912,99391200
913,101403300
914,104421100
915,103278500
916,102218800
917,101025700
918,102369200
919,105005000
920,106661100
921,103819100
922,108226500
923,106676200
924,108086100
925,108672800
926,106065600
927,104037000
928,104845400
929,104565400
930,107548800
931,103932600
932,105708500
933,105930800
934,108450600
935,106719300
936,104939700
937,105610700
938,106374000
939,105067600
940,105576400
941,105866700
942,103749700
943,105788200
944,103228800
945,103497700
946,103809700
947,105717700
948,102794500
949,101364200
950,102755800
951,104492100
952,102866500
953,102567300
954,102992700
955,103245100
956,104068400
957,102425600
958,107168300
959,106494700
960,102628600
961,104020600
962,101007100
963,103406200
964,102701700
965,104705500
966,101933500
967,104423700
968,102459200
969,100008300
970,101350800
971,105163800
972,103456300
973,101409100
974,103449300
975,105059300
976,106025200
977,103410100
978,104482100
979,104344600
980,104026800
981,106800400
982,102848400
983,102652600
984,101890700
985,103093100
986,102976400
987,102896200
988,101793200
989,100547700
990,101167600
991,102172100
992,105718300
993,103144500
994,99841100
995,102432100
996,103024200
997,102314300
998,103311200
999,100120600
1000,102264600
1001,99287900
1002,102903400
1003,102240800
1004,100475000
1005,97900100
1006,100144500
1007,99244500
1008,98786800
1009,98651900
1010,97489000
1011,97707000
1012,97844600
1013,98687700
1014,98327300
1015,98289000
1016,99842300
1017,97812100
1018,97662200
1019,99325600
1020,97156700
1021,97310700
1022,98527100
1023,98395500
1024,99001000
1025,99146500
1026,99169800
1027,98584900
1028,101370700
1029,101317500
1030,99323600
1031,101903300
1032,99775500
1033,98511500
1034,100543400
1035,98690400
1036,98577300
1037,99364900
1038,99380800
1039,100787500
1040,99187800
1041,99553800
1042,100334300
1043,98144300
1044,101100100
1045,100567900
1046,99720200
1047,99974500
1048,100056000
1049,100163100
1050,101718600
1051,99001300
1052,99666800
1053,100012300
1054,101944600
1055,102186300
1056,101768800
1057,102317900
1058,99647900
1059,95923500
1060,98735800
1061,98042500
1062,96235200
1063,98701800
1064,96410100
1065,97235100
1066,96256500
1067,96960800
1068,99462800
1069,95589000
1070,98956500
1071,97065800
1072,99900500
1073,100077800
1074,98443600
1075,95766100
1076,97538900
1077,96060400
1078,96270800
1079,95978700
1080,96126100
1081,97064400
1082,96901300
1083,99628800
1084,97407500
1085,96710200
1086,97292200
1087,96138000
1088,96238600
1089,98885100
1090,98929600
1091,97391600
1092,98497900
1093,99147500
1094,96852500
1095,95183400
1096,99101300
1097,98490200
1098,96112700
1099,97828400
1100,99180200
1101,97604600
1102,101592000
1103,98616500
1104,96523700
1105,99125900
1106,102184200
1107,99888300
1108,98870100
1109,99363600
1110,98479600
1111,99576500
1112,98984500
1113,99227900
1114,99023200
1115,98529500
1116,100669900
1117,98528500
1118,99348700
1119,96480300
1120,98663800
1121,98297200
1122,98989300
1123,99423900
1124,100214200
1125,98492300
1126,100948900
1127,100066600
1128,101714400
1129,102142400
1130,102106300
1131,101211600
1132,99082800
1133,101216600
1134,100914500
1135,99855300
1136,101999500
1137,100712900
1138,103941500
1139,100910200
1140,102568200
1141,102237600
1142,105357400
1143,104442200
1144,102249700
1145,102698100
1146,101905400
1147,99603700
1148,102872700
1149,102831400
1150,100830600
1151,103735800
1152,101903700
1153,102435100
1154,99195000
1155,102855600
1156,97183500
1157,98734000
1158,103082800
1159,103575600
1160,100065200
1161,100318300
1162,103947500
1163,102701500
1164,99167200
1165,100344000
1166,100537300
1167,100039500
1168,100781300
1169,102021300
1170,100941600
1171,98543400
1172,98594200
1173,99270100
1174,99610400
1175,100090600
1176,100624300
1177,103179700
1178,103291600
1179,101847500
1180,103419200
1181,101312000
1182,104067900
1183,103176300
1184,102505600
1185,106260000
1186,103928600
1187,104425400
1188,104030400
1189,103172900
1190,104618100
1191,104082800
1192,105422600
1193,103460800
1194,101582600
1195,103532600
1196,102865000
1197,101906600
1198,101544800
1199,101615300
1200,102267500
1201,101320400
1202,100633500
1203,102309400
1204,200151100
