Iteration,Runtime(ns)
531,76284400
532,37979800
533,55113200
534,74235400
535,42085300
536,54083000
537,74373000
538,42294800
539,52168900
540,75270100
541,39978000
542,54312100
543,77079400
544,39090600
545,53247500
546,76369300
547,42083000
548,52275200
549,76344100
550,41077600
551,54151700
552,75495400
553,39977500
554,53172900
555,76187300
556,39123300
557,53420600
558,74172800
559,40438900
560,54174100
561,78060000
562,36019900
563,54135800
564,76098700
565,39190900
566,52073300
567,76147200
568,36125800
569,53072100
570,75972700
571,37142900
572,53248900
573,74947800
574,37977500
575,51791000
576,78339400
577,37208200
578,53993000
579,77273900
580,36987500
581,52043400
582,76164500
583,37096200
584,55205600
585,76394900
586,36898900
587,53361800
588,75925100
589,37546400
590,54311700
591,75154900
592,36187400
593,53965500
594,75413800
595,37239000
596,54467500
597,76195300
598,36390300
599,53974400
600,74958500
601,38086200
602,53402400
603,74434100
604,38806500
605,55046500
606,73532700
607,40069500
608,53967800
609,75189400
610,40389900
611,74095900
612,54940100
613,40982000
614,53089300
615,76212100
616,38288600
617,52992400
618,76231100
619,37082700
620,53265800
621,76081800
622,37999000
623,52309800
624,75436700
625,36948800
626,53084700
627,76985500
628,37074800
629,52944200
630,75064400
631,39976100
632,52970900
633,77080300
634,38119300
635,52168400
636,76193900
637,40060500
638,51999100
639,76284400
640,38145400
641,54059300
642,75290200
643,38060500
644,52384900
645,77471700
646,38070800
647,53105700
648,77166100
649,38114700
650,52542100
651,76662700
652,37979900
653,52064800
654,77068600
655,37093400
656,52534200
657,78298400
658,38010600
659,53281100
660,76054400
661,39204000
662,53116000
663,76937000
664,38982400
665,52452100
666,77189000
667,38955300
668,53963200
669,76072100
670,39096200
671,53218100
672,75048100
673,43970100
674,48140800
675,74080000
676,42041500
677,51893600
678,76080500
679,40033500
680,53261500
681,76362800
682,40001800
683,53330500
684,76959900
685,41087400
686,53081400
687,76986100
688,39186200
689,53305400
690,77077500
691,41199300
692,53199000
693,77193200
694,41139600
695,54175500
696,76342700
697,43174600
698,53402400
699,77101300
700,43065000
701,52191300
702,76072100
703,42092800
704,55211200
705,76103800
706,42281700
707,53206000
708,76060900
709,43976100
710,51998200
711,76926300
712,41981700
713,53225600
714,76928600
715,41982200
716,53961800
717,75333100
718,42034500
719,52968000
720,78147700
721,39214800
